municipal_id,name,name_ar,state,lat,lng
83011,Tataouine,تطاوين,Tataouine,32.9210902,10.4508956
12011,Ariana,أريانة,Ariana,36.8665367,10.1647233
12015,Sidi Thabet,سيدي ثابت,Ariana,36.9245069,10.0471549
13013,Mégrine,مقرين,Tunis,36.7754903,10.2319757
21012,Dar Chaabane Al Fehri,دار شعبان الفهري,Nabeul,36.4626965,10.7492466
23013,Ras Jebel,رأس الجبل,Bizerte,37.2161707,10.1143176
33013,Tajerouine,تاجروين,Kef,35.8904199,8.552874599999999
33016,Al-Jarissah,الجريصة,Kef,35.84663,8.6353104
34018,El Aroussa,العروسة,Siliana,36.37867,9.450643
41015,Haffuz,حفوز,Kairouan,35.6371854,9.675904
42012,Subaytilah,سبيطلة,Kasserine,35.2293281,9.1262461
51019,Sidi Bou Ali,سيدي بو علي,Sousse,35.95853450000001,10.4761897
51021,Bouficha,بوفيشة,Sousse,36.2990345,10.4537057
51026,Kondar,كندار,Sousse,35.9318349,10.303487
52021,Touza,طوزة,Monastir,35.6355991,10.8310377
52023,Ksar Hellal,قصر هلال,Monastir,35.6452612,10.8733712
52028,Bouhjar,بوحجر,Monastir,35.6654475,10.8592579
52029,Sidi Ameur,سيدي عامر مسجد عيسى,Monastir,35.7385788,10.7069688
52036,Manzil Kamil,منزل كامل,Monastir,35.6232768,10.6675267
52039,Amirat Fehoul,عميرة الفحول,Monastir,35.4480224,10.8268053
52040,Amiret Touazra,عميرة التوازرة,Monastir,35.4873262,10.766163
53014,Sidi Alouane,سيدي علوان,Mahdia,35.3769582,10.9383192
71013,Al-Rudayyif,الرديف,Gafsa,34.3856827,8.1611703
71014,Al-Mitlawi,المتلوي,Gafsa,34.3193669,8.407457299999999
13020,Hammam-Lif,حمام الشط,Ben Arous,36.718193,10.3694401
81013,Al-Matwiyah,المطوية,Gabes,33.9591353,10.0052044
13014,Hammam-Lif,حمام الأنف,Ben Arous,36.7230724,10.3441758
53016,El Jem,الجم,Mahdia,35.2923343,10.7041509
61024,Skhira,الصخيرة,Sfax,34.2976247,10.0751331
73013,Jamnah,جمنة,Kebili,33.5733447,9.0184183
